id,question_url,exam_year
20,https://myschool.ng/classroom/mathematics/22913?exam_type=waec&exam_year=1991&type=obj&page=4,WAEC 1991
21,https://myschool.ng/classroom/mathematics/22915?exam_type=waec&exam_year=1991&type=obj&page=5,WAEC 1991
22,https://myschool.ng/classroom/mathematics/22916?exam_type=waec&exam_year=1991&type=obj&page=5,WAEC 1991
23,https://myschool.ng/classroom/mathematics/22917?exam_type=waec&exam_year=1991&type=obj&page=5,WAEC 1991
24,https://myschool.ng/classroom/mathematics/22918?exam_type=waec&exam_year=1991&type=obj&page=5,WAEC 1991
25,https://myschool.ng/classroom/mathematics/22920?exam_type=waec&exam_year=1991&type=obj&page=5,WAEC 1991
11,https://myschool.ng/classroom/mathematics/22874?exam_type=waec&exam_year=1991&type=obj&page=3,WAEC 1991
12,https://myschool.ng/classroom/mathematics/22875?exam_type=waec&exam_year=1991&type=obj&page=3,WAEC 1991
13,https://myschool.ng/classroom/mathematics/22876?exam_type=waec&exam_year=1991&type=obj&page=3,WAEC 1991
14,https://myschool.ng/classroom/mathematics/22877?exam_type=waec&exam_year=1991&type=obj&page=3,WAEC 1991
15,https://myschool.ng/classroom/mathematics/22878?exam_type=waec&exam_year=1991&type=obj&page=3,WAEC 1991
46,https://myschool.ng/classroom/mathematics/23184?exam_type=waec&exam_year=1992&type=obj&page=10,WAEC 1992
47,https://myschool.ng/classroom/mathematics/23185?exam_type=waec&exam_year=1992&type=obj&page=10,WAEC 1992
48,https://myschool.ng/classroom/mathematics/23186?exam_type=waec&exam_year=1992&type=obj&page=10,WAEC 1992
31,https://myschool.ng/classroom/mathematics/23169?exam_type=waec&exam_year=1992&type=obj&page=7,WAEC 1992
32,https://myschool.ng/classroom/mathematics/23170?exam_type=waec&exam_year=1992&type=obj&page=7,WAEC 1992
33,https://myschool.ng/classroom/mathematics/23171?exam_type=waec&exam_year=1992&type=obj&page=7,WAEC 1992
34,https://myschool.ng/classroom/mathematics/23172?exam_type=waec&exam_year=1992&type=obj&page=7,WAEC 1992
35,https://myschool.ng/classroom/mathematics/23173?exam_type=waec&exam_year=1992&type=obj&page=7,WAEC 1992
11,https://myschool.ng/classroom/mathematics/23149?exam_type=waec&exam_year=1992&type=obj&page=3,WAEC 1992
12,https://myschool.ng/classroom/mathematics/23150?exam_type=waec&exam_year=1992&type=obj&page=3,WAEC 1992
13,https://myschool.ng/classroom/mathematics/23151?exam_type=waec&exam_year=1992&type=obj&page=3,WAEC 1992
14,https://myschool.ng/classroom/mathematics/23152?exam_type=waec&exam_year=1992&type=obj&page=3,WAEC 1992
15,https://myschool.ng/classroom/mathematics/23153?exam_type=waec&exam_year=1992&type=obj&page=3,WAEC 1992
26,https://myschool.ng/classroom/mathematics/23164?exam_type=waec&exam_year=1992&type=obj&page=6,WAEC 1992
27,https://myschool.ng/classroom/mathematics/23165?exam_type=waec&exam_year=1992&type=obj&page=6,WAEC 1992
28,https://myschool.ng/classroom/mathematics/23166?exam_type=waec&exam_year=1992&type=obj&page=6,WAEC 1992
29,https://myschool.ng/classroom/mathematics/23167?exam_type=waec&exam_year=1992&type=obj&page=6,WAEC 1992
30,https://myschool.ng/classroom/mathematics/23168?exam_type=waec&exam_year=1992&type=obj&page=6,WAEC 1992
1,https://myschool.ng/classroom/mathematics/23139?exam_type=waec&exam_year=1992&type=obj&page=1,WAEC 1992
2,https://myschool.ng/classroom/mathematics/23140?exam_type=waec&exam_year=1992&type=obj&page=1,WAEC 1992
3,https://myschool.ng/classroom/mathematics/23141?exam_type=waec&exam_year=1992&type=obj&page=1,WAEC 1992
4,https://myschool.ng/classroom/mathematics/23142?exam_type=waec&exam_year=1992&type=obj&page=1,WAEC 1992
5,https://myschool.ng/classroom/mathematics/23143?exam_type=waec&exam_year=1992&type=obj&page=1,WAEC 1992
16,https://myschool.ng/classroom/mathematics/23154?exam_type=waec&exam_year=1992&type=obj&page=4,WAEC 1992
17,https://myschool.ng/classroom/mathematics/23155?exam_type=waec&exam_year=1992&type=obj&page=4,WAEC 1992
18,https://myschool.ng/classroom/mathematics/23156?exam_type=waec&exam_year=1992&type=obj&page=4,WAEC 1992
19,https://myschool.ng/classroom/mathematics/23157?exam_type=waec&exam_year=1992&type=obj&page=4,WAEC 1992
20,https://myschool.ng/classroom/mathematics/23158?exam_type=waec&exam_year=1992&type=obj&page=4,WAEC 1992
6,https://myschool.ng/classroom/mathematics/23144?exam_type=waec&exam_year=1992&type=obj&page=2,WAEC 1992
7,https://myschool.ng/classroom/mathematics/23145?exam_type=waec&exam_year=1992&type=obj&page=2,WAEC 1992
8,https://myschool.ng/classroom/mathematics/23146?exam_type=waec&exam_year=1992&type=obj&page=2,WAEC 1992
9,https://myschool.ng/classroom/mathematics/23147?exam_type=waec&exam_year=1992&type=obj&page=2,WAEC 1992
10,https://myschool.ng/classroom/mathematics/23148?exam_type=waec&exam_year=1992&type=obj&page=2,WAEC 1992
36,https://myschool.ng/classroom/mathematics/23174?exam_type=waec&exam_year=1992&type=obj&page=8,WAEC 1992
37,https://myschool.ng/classroom/mathematics/23175?exam_type=waec&exam_year=1992&type=obj&page=8,WAEC 1992
38,https://myschool.ng/classroom/mathematics/23176?exam_type=waec&exam_year=1992&type=obj&page=8,WAEC 1992
39,https://myschool.ng/classroom/mathematics/23177?exam_type=waec&exam_year=1992&type=obj&page=8,WAEC 1992
40,https://myschool.ng/classroom/mathematics/23178?exam_type=waec&exam_year=1992&type=obj&page=8,WAEC 1992
21,https://myschool.ng/classroom/mathematics/23159?exam_type=waec&exam_year=1992&type=obj&page=5,WAEC 1992
22,https://myschool.ng/classroom/mathematics/23160?exam_type=waec&exam_year=1992&type=obj&page=5,WAEC 1992
23,https://myschool.ng/classroom/mathematics/23161?exam_type=waec&exam_year=1992&type=obj&page=5,WAEC 1992
24,https://myschool.ng/classroom/mathematics/23162?exam_type=waec&exam_year=1992&type=obj&page=5,WAEC 1992
25,https://myschool.ng/classroom/mathematics/23163?exam_type=waec&exam_year=1992&type=obj&page=5,WAEC 1992
41,https://myschool.ng/classroom/mathematics/23179?exam_type=waec&exam_year=1992&type=obj&page=9,WAEC 1992
42,https://myschool.ng/classroom/mathematics/23180?exam_type=waec&exam_year=1992&type=obj&page=9,WAEC 1992
43,https://myschool.ng/classroom/mathematics/23181?exam_type=waec&exam_year=1992&type=obj&page=9,WAEC 1992
44,https://myschool.ng/classroom/mathematics/23182?exam_type=waec&exam_year=1992&type=obj&page=9,WAEC 1992
45,https://myschool.ng/classroom/mathematics/23183?exam_type=waec&exam_year=1992&type=obj&page=9,WAEC 1992
36,https://myschool.ng/classroom/mathematics/23223?exam_type=waec&exam_year=1993&type=obj&page=8,WAEC 1993
37,https://myschool.ng/classroom/mathematics/23224?exam_type=waec&exam_year=1993&type=obj&page=8,WAEC 1993
38,https://myschool.ng/classroom/mathematics/23225?exam_type=waec&exam_year=1993&type=obj&page=8,WAEC 1993
39,https://myschool.ng/classroom/mathematics/23226?exam_type=waec&exam_year=1993&type=obj&page=8,WAEC 1993
40,https://myschool.ng/classroom/mathematics/23227?exam_type=waec&exam_year=1993&type=obj&page=8,WAEC 1993
21,https://myschool.ng/classroom/mathematics/23207?exam_type=waec&exam_year=1993&type=obj&page=5,WAEC 1993
22,https://myschool.ng/classroom/mathematics/23208?exam_type=waec&exam_year=1993&type=obj&page=5,WAEC 1993
23,https://myschool.ng/classroom/mathematics/23209?exam_type=waec&exam_year=1993&type=obj&page=5,WAEC 1993
24,https://myschool.ng/classroom/mathematics/23210?exam_type=waec&exam_year=1993&type=obj&page=5,WAEC 1993
25,https://myschool.ng/classroom/mathematics/23211?exam_type=waec&exam_year=1993&type=obj&page=5,WAEC 1993
11,https://myschool.ng/classroom/mathematics/23197?exam_type=waec&exam_year=1993&type=obj&page=3,WAEC 1993
12,https://myschool.ng/classroom/mathematics/23198?exam_type=waec&exam_year=1993&type=obj&page=3,WAEC 1993
13,https://myschool.ng/classroom/mathematics/23199?exam_type=waec&exam_year=1993&type=obj&page=3,WAEC 1993
14,https://myschool.ng/classroom/mathematics/23200?exam_type=waec&exam_year=1993&type=obj&page=3,WAEC 1993
15,https://myschool.ng/classroom/mathematics/23201?exam_type=waec&exam_year=1993&type=obj&page=3,WAEC 1993
